time,size_sent,size_rcv 
0,0.5796875,73.934375 
10,3.64375,471.8703125 
20,15.8171875,2024.64375 
30,68.403125,8786.309375 
40,275.26875,32058.9046875 
49,414.4765625,49049.47421875 
